definitionsdatei,mod,key,bind_flags,dispatcher_params,beschreibung
hyprland/keybinds.conf,Super,Super_L,i,"global, quickshell:searchToggleRelease",Toggle search
hyprland/keybinds.conf,Super,Super_R,i,"global, quickshell:searchToggleRelease",Toggle search
hyprland/keybinds.conf,Super,Super_L,,"exec, qs -c ii ipc call TEST_ALIVE || pkill fuzzel || fuzzel",Launcher (fallback)
hyprland/keybinds.conf,Super,Super_R,,"exec, qs -c ii ipc call TEST_ALIVE || pkill fuzzel || fuzzel",Launcher (fallback)
hyprland/keybinds.conf,Super,catchall,itn,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,Ctrl,Super_L,,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,Ctrl,Super_R,,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,Super,mouse:272,,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,Super,mouse:273,,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,Super,mouse:274,,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,Super,mouse:275,,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,Super,mouse:276,,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,Super,mouse:277,,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,Super,mouse_up,,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,Super,mouse_down,,"global, quickshell:searchToggleReleaseInterrupt",
hyprland/keybinds.conf,,Super_L,it,"global, quickshell:workspaceNumber",
hyprland/keybinds.conf,,Super_R,it,"global, quickshell:workspaceNumber",
hyprland/keybinds.conf,Super,Tab,,"global, quickshell:overviewWorkspacesToggle",Toggle overview
hyprland/keybinds.conf,Super,Period,,"global, quickshell:overviewEmojiToggle",Emoji >> clipboard
hyprland/keybinds.conf,Alt+Super,A,,"global, quickshell:sidebarLeftToggleDetach",
hyprland/keybinds.conf,Super,N,,"global, quickshell:sidebarRightToggle",Toggle right sidebar
hyprland/keybinds.conf,Super,Slash,,"global, quickshell:cheatsheetToggle",Toggle cheatsheet
hyprland/keybinds.conf,Super,M,,"global, quickshell:mediaControlsToggle",Toggle media controls
hyprland/keybinds.conf,Super,G,,"global, quickshell:overlayToggle",Toggle overlay
hyprland/keybinds.conf,Ctrl+Alt,Delete,,"global, quickshell:sessionToggle",Toggle session menu
hyprland/keybinds.conf,Super,J,,"global, quickshell:barToggle",Toggle bar
hyprland/keybinds.conf,Ctrl+Alt,Delete,,"exec, qs -c ii ipc call TEST_ALIVE || pkill wlogout || wlogout -p layer-shell",Session menu (fallback)
hyprland/keybinds.conf,Alt+Shift+Super,Slash,,"exec, qs -p ~/.config/quickshell/ii/welcome.qml",Launch welcome app
hyprland/keybinds.conf,,XF86MonBrightnessUp,le,"exec, qs -c ii ipc call brightness increment || brightnessctl s 5%+",
hyprland/keybinds.conf,,XF86MonBrightnessDown,le,"exec, qs -c ii ipc call brightness decrement || brightnessctl s 5%-",
hyprland/keybinds.conf,,XF86AudioRaiseVolume,le,"exec, wpctl set-volume @DEFAULT_AUDIO_SINK@ 2%+ -l 1.5",
hyprland/keybinds.conf,,XF86AudioLowerVolume,le,"exec, wpctl set-volume @DEFAULT_AUDIO_SINK@ 2%-",
hyprland/keybinds.conf,,XF86AudioMute,l,"exec, wpctl set-mute @DEFAULT_SINK@ toggle",
hyprland/keybinds.conf,Shift+Super,M,l,"exec, wpctl set-mute @DEFAULT_SINK@ toggle",Toggle mute
hyprland/keybinds.conf,Alt,XF86AudioMute,l,"exec, wpctl set-mute @DEFAULT_SOURCE@ toggle",
hyprland/keybinds.conf,,XF86AudioMicMute,l,"exec, wpctl set-mute @DEFAULT_SOURCE@ toggle",
hyprland/keybinds.conf,Alt+Super,M,l,"exec, wpctl set-mute @DEFAULT_SOURCE@ toggle",Toggle mic
hyprland/keybinds.conf,Ctrl+Super,T,,"global, quickshell:wallpaperSelectorToggle",Wallpaper selector
hyprland/keybinds.conf,Ctrl+Alt+Super,T,,"global, quickshell:wallpaperSelectorRandom",Random wallpaper
hyprland/keybinds.conf,Ctrl+Super,T,,"exec, qs -c ii ipc call TEST_ALIVE || ~/.config/quickshell/ii/scripts/colors/switchwall.sh",Change wallpaper (fallback)
hyprland/keybinds.conf,Ctrl+Super,R,,"exec, killall ags agsv1 gjs ydotool qs quickshell; qs -c ii &",Restart widgets
hyprland/keybinds.conf,Ctrl+Super,P,,"global, quickshell:panelFamilyCycle",Cycle panel family
hyprland/keybinds.conf,Super,Period,,"exec, qs -c ii ipc call TEST_ALIVE || pkill fuzzel || ~/.config/hypr/hyprland/scripts/fuzzel-emoji.sh copy",Emoji >> clipboard (fallback)
hyprland/keybinds.conf,Shift+Super,S,,"global, quickshell:regionScreenshot",Screen snip
hyprland/keybinds.conf,Shift+Super,S,,"exec, qs -c ii ipc call TEST_ALIVE || pidof slurp || hyprshot --freeze --clipboard-only --mode region --silent",Screen snip (fallback)
hyprland/keybinds.conf,Shift+Super,X,,"global, quickshell:regionOcr",Character recognition >> clipboard
hyprland/keybinds.conf,Shift+Super,T,,"global, quickshell:regionOcr",
hyprland/keybinds.conf,Shift+Super,X,,"exec, qs -c ii ipc call TEST_ALIVE || pidof slurp || grim -g ""$(slurp $SLURP_ARGS)"" ""/tmp/ocr_image.png"" && tesseract ""/tmp/ocr_image.png"" stdout -l $(tesseract --list-langs | awk 'NR>1{print $1}' | tr '\\n' '+' | sed 's/\\+$/\\n/') | wl-copy && rm ""/tmp/ocr_image.png""",
hyprland/keybinds.conf,Shift+Super,T,,"exec, qs -c ii ipc call TEST_ALIVE || pidof slurp || grim -g ""$(slurp $SLURP_ARGS)"" ""/tmp/ocr_image.png"" && tesseract ""/tmp/ocr_image.png"" stdout -l $(tesseract --list-langs | awk 'NR>1{print $1}' | tr '\\n' '+' | sed 's/\\+$/\\n/') | wl-copy && rm ""/tmp/ocr_image.png""",
hyprland/keybinds.conf,Shift+Super,R,l,"global, quickshell:regionRecord",Record region (no sound)
hyprland/keybinds.conf,Shift+Super,R,l,"exec, qs -c ii ipc call TEST_ALIVE || ~/.config/quickshell/ii/scripts/videos/record.sh",Record region (no sound) (fallback)
hyprland/keybinds.conf,Alt+Super,R,l,"global, quickshell:regionRecord",Record region (no sound)
hyprland/keybinds.conf,Alt+Super,R,l,"exec, qs -c ii ipc call TEST_ALIVE || ~/.config/quickshell/ii/scripts/videos/record.sh",Record region (no sound) (fallback)
hyprland/keybinds.conf,Ctrl+Alt,R,l,"exec, ~/.config/quickshell/ii/scripts/videos/record.sh --fullscreen",Record screen (no sound)
hyprland/keybinds.conf,Alt+Shift+Super,R,l,"exec, ~/.config/quickshell/ii/scripts/videos/record.sh --fullscreen --sound",Record screen (with sound)
hyprland/keybinds.conf,Alt+Shift+Super,mouse:273,,"exec, ~/.config/hypr/hyprland/scripts/ai/primary-buffer-query.sh",AI summary for selected text
hyprland/keybinds.conf,Super,mouse:272,,movewindow,Move
hyprland/keybinds.conf,Super,mouse:274,,movewindow,
hyprland/keybinds.conf,Super,mouse:273,,resizewindow,Resize
hyprland/keybinds.conf,Super,BracketLeft,,"movefocus, l",
hyprland/keybinds.conf,Super,BracketRight,,"movefocus, r",
hyprland/keybinds.conf,Shift+Super,Left,,"movewindow, l",
hyprland/keybinds.conf,Shift+Super,Right,,"movewindow, r",
hyprland/keybinds.conf,Shift+Super,Up,,"movewindow, u",
hyprland/keybinds.conf,Shift+Super,Down,,"movewindow, d",
hyprland/keybinds.conf,Alt,F4,,killactive,Close (Windows)
hyprland/keybinds.conf,Super,Q,,killactive,Close
hyprland/keybinds.conf,Alt+Shift+Super,Q,,"exec, hyprctl kill",Forcefully zap a window
hyprland/keybinds.conf,Super,Semicolon,e,"splitratio, -0.1",
hyprland/keybinds.conf,Super,Apostrophe,e,"splitratio, +0.1",
hyprland/keybinds.conf,Alt+Super,Space,,togglefloating,Float/Tile
hyprland/keybinds.conf,Super,D,,"fullscreen, 1",Maximize
hyprland/keybinds.conf,Super,F,,"fullscreen, 0",Fullscreen
hyprland/keybinds.conf,Alt+Super,F,,"fullscreenstate, 0 3",Fullscreen spoof
hyprland/keybinds.conf,Alt+Super,code:10,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 1",
hyprland/keybinds.conf,Alt+Super,code:11,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 2",
hyprland/keybinds.conf,Alt+Super,code:12,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 3",
hyprland/keybinds.conf,Alt+Super,code:13,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 4",
hyprland/keybinds.conf,Alt+Super,code:14,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 5",
hyprland/keybinds.conf,Alt+Super,code:15,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 6",
hyprland/keybinds.conf,Alt+Super,code:16,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 7",
hyprland/keybinds.conf,Alt+Super,code:17,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 8",
hyprland/keybinds.conf,Alt+Super,code:18,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 9",
hyprland/keybinds.conf,Alt+Super,code:19,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 10",
hyprland/keybinds.conf,Alt+Super,code:87,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 1",
hyprland/keybinds.conf,Alt+Super,code:88,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 2",
hyprland/keybinds.conf,Alt+Super,code:89,,"exec, ~/.config/hypr/hyprland/scripts/workspace_action.sh movetoworkspacesilent 3",
